wall_time,step,value
1695481053.593056,7,0.32549020648002625
1695481054.0815911,15,0.3803921639919281
1695481054.5870483,23,0.45490196347236633
1695481055.0659835,31,0.48235294222831726
1695481055.5818622,39,0.5137255191802979
1695481056.0538797,47,0.6000000238418579
1695481056.5194628,55,0.5843137502670288
1695481056.9869442,63,0.6352941393852234
1695481057.4626162,71,0.6313725709915161
1695481057.926263,79,0.6666666865348816
1695481058.4080389,87,0.6627451181411743
1695481058.8844786,95,0.7176470756530762
1695481059.3760126,103,0.6666666865348816
1695481059.878622,111,0.7176470756530762
1695481060.3852692,119,0.7411764860153198
1695481060.8683486,127,0.7176470756530762
1695481061.3391497,135,0.7411764860153198
1695481061.8236017,143,0.7411764860153198
1695481062.3004265,151,0.7411764860153198
1695481062.788761,159,0.7333333492279053
1695481063.2721467,167,0.7764706015586853
1695481063.755109,175,0.7450980544090271
1695481064.2376282,183,0.7411764860153198
1695481064.7450209,191,0.7647058963775635
1695481065.257335,199,0.7411764860153198
1695481065.7400923,207,0.7607843279838562
1695481066.2316277,215,0.772549033164978
1695481066.7013395,223,0.7607843279838562
1695481067.1882496,231,0.772549033164978
1695481067.6548262,239,0.7607843279838562
1695481068.1431704,247,0.7529411911964417
1695481068.6183312,255,0.7921568751335144
1695481069.1280909,263,0.7764706015586853
1695481069.6059804,271,0.7843137383460999
1695481070.108253,279,0.7803921699523926
1695481070.613724,287,0.7843137383460999
1695481071.0932608,295,0.7843137383460999
1695481071.6074343,303,0.8117647171020508
1695481072.100413,311,0.7960784435272217
1695481072.5940304,319,0.800000011920929
1695481073.0737689,327,0.7764706015586853
1695481073.543579,335,0.7882353067398071
1695481074.0138044,343,0.7921568751335144
1695481074.4903138,351,0.7843137383460999
1695481074.9655216,359,0.8039215803146362
1695481075.4540284,367,0.7803921699523926
1695481075.9334815,375,0.7921568751335144
1695481076.4410102,383,0.729411780834198
1695481076.9407568,391,0.7843137383460999
1695481077.4449615,399,0.7843137383460999
1695481077.928645,407,0.7960784435272217
1695481078.427488,415,0.7843137383460999
1695481078.9092467,423,0.8117647171020508
1695481079.387999,431,0.7764706015586853
1695481079.9020777,439,0.7882353067398071
1695481080.3854098,447,0.7882353067398071
1695481080.8704069,455,0.7960784435272217
1695481081.4029174,463,0.8156862854957581
1695481081.8965054,471,0.8117647171020508
1695481082.4049728,479,0.800000011920929
1695481082.906003,487,0.7882353067398071
1695481083.3978286,495,0.8117647171020508
1695481083.8732653,503,0.7882353067398071
1695481084.3862298,511,0.8117647171020508
1695481084.8651218,519,0.8196078538894653
1695481085.3753586,527,0.8156862854957581
1695481085.8700943,535,0.7882353067398071
1695481086.3808076,543,0.7921568751335144
1695481086.8652859,551,0.8117647171020508
1695481087.3311539,559,0.800000011920929
1695481087.81489,567,0.800000011920929
1695481088.2979183,575,0.7921568751335144
1695481088.794458,583,0.8117647171020508
1695481089.273895,591,0.8235294222831726
