wall_time,step,value
1695481137.5954325,49,1.2077484130859375
1695481140.3675115,99,1.2388734817504883
1695481143.137507,149,1.207527756690979
1695481145.904137,199,1.1625553369522095
1695481149.0718908,249,1.1510179042816162
1695481151.8258445,299,1.0523781776428223
1695481154.5124655,349,0.9890855550765991
1695481157.2278447,399,1.130262017250061
1695481160.3371687,449,0.9784428477287292
1695481163.0925965,499,0.7448393702507019
1695481165.7837877,549,0.7477295398712158
1695481168.4689581,599,0.8066003322601318
1695481171.6127594,649,0.7704039812088013
1695481174.314941,699,0.6078647971153259
1695481177.043718,749,0.7799911499023438
1695481179.7901511,799,0.722993016242981
1695481182.9381778,849,0.7171462774276733
1695481185.6480687,899,0.7744470238685608
