wall_time,step,value
1695480734.0473373,7,0.26785194873809814
1695480734.4947102,15,0.47888416051864624
1695480734.9811847,23,0.44531410932540894
1695480735.4619355,31,0.5194805264472961
1695480735.9592433,39,0.5328873991966248
1695480736.4567192,47,0.5713173747062683
1695480736.9549797,55,0.581789493560791
1695480737.4260647,63,0.6411435604095459
1695480737.9032414,71,0.6691380143165588
1695480738.3991716,79,0.6542919874191284
1695480738.9046094,87,0.6735739707946777
1695480739.3756943,95,0.7003272771835327
1695480739.8643277,103,0.6644219756126404
1695480740.3480325,111,0.6889499425888062
1695480740.842203,119,0.7172021269798279
1695480741.335702,127,0.6935735940933228
1695480741.7950912,135,0.7348621487617493
1695480742.2899952,143,0.7266979217529297
1695480742.7642453,151,0.7290468811988831
1695480743.282153,159,0.7701359987258911
1695480743.7788677,167,0.7718733549118042
1695480744.2585804,175,0.7595076560974121
1695480744.736487,183,0.7313922047615051
1695480745.2481039,191,0.7540651559829712
1695480745.725799,199,0.7633659839630127
1695480746.2480772,207,0.7596073150634766
1695480746.7144957,215,0.7647789120674133
1695480747.184615,223,0.8034920692443848
1695480747.669832,231,0.7790794372558594
1695480748.1686206,239,0.7896518111228943
1695480748.6672254,247,0.7741177082061768
1695480749.1710863,255,0.7806454300880432
1695480749.6556482,263,0.7667605876922607
1695480750.1633215,271,0.8020064830780029
1695480750.6403735,279,0.8107659816741943
1695480751.1080108,287,0.7891634702682495
1695480751.5750642,295,0.7976545095443726
1695480752.0283108,303,0.799018144607544
1695480752.5248504,311,0.7932640314102173
1695480752.9950552,319,0.790926456451416
1695480753.5186496,327,0.809853196144104
1695480753.9881895,335,0.7960784435272217
1695480754.563058,343,0.8152533173561096
1695480755.0340457,351,0.7941745519638062
1695480755.5683074,359,0.7932743430137634
1695480756.0451226,367,0.8180627822875977
1695480756.5196247,375,0.8096823692321777
1695480757.0271616,383,0.8181148767471313
1695480757.5043578,391,0.7947356104850769
1695480757.9911435,399,0.8005412817001343
1695480758.4784465,407,0.8223139047622681
1695480758.9527888,415,0.8069841861724854
1695480759.4247482,423,0.8352068662643433
1695480759.912482,431,0.7962912321090698
1695480760.4150178,439,0.7939432859420776
1695480760.8947937,447,0.822678804397583
1695480761.3621333,455,0.8297737836837769
1695480761.8411493,463,0.8457767963409424
1695480762.3268187,471,0.8166966438293457
1695480762.789692,479,0.8368858098983765
1695480763.2768328,487,0.8230478763580322
1695480763.7451234,495,0.8388717174530029
1695480764.2151818,503,0.8545233011245728
1695480764.691055,511,0.8422329425811768
1695480765.1583326,519,0.8441078662872314
1695480765.6402204,527,0.8361904621124268
1695480766.1114671,535,0.8519986867904663
1695480766.582348,543,0.8575345277786255
1695480767.0347717,551,0.8500988483428955
1695480767.5058227,559,0.8468732833862305
1695480767.9781592,567,0.8530490398406982
1695480768.456964,575,0.8288640975952148
1695480768.919944,583,0.8159909248352051
1695480769.3768606,591,0.8152964115142822
1695480769.8340104,599,0.8606210947036743
1695480770.3136237,607,0.8381569981575012
1695480770.7804854,615,0.841759204864502
1695480771.2615216,623,0.8603020906448364
1695480771.7249513,631,0.8558577299118042
1695480772.219739,639,0.8292352557182312
1695480772.699024,647,0.8549371957778931
1695480773.2068322,655,0.8605664372444153
1695480773.673623,663,0.8488683700561523
1695480774.125054,671,0.8811212182044983
1695480774.6278965,679,0.8610494136810303
1695480775.0999835,687,0.8696342706680298
1695480775.5649402,695,0.8684909343719482
1695480776.047393,703,0.8802481889724731
1695480776.508372,711,0.8489401340484619
1695480776.9919322,719,0.8320600986480713
1695480777.4561944,727,0.8766689300537109
1695480777.9244995,735,0.8490868806838989
1695480778.419074,743,0.8533505797386169
1695480778.894501,751,0.8685258626937866
1695480779.3529701,759,0.8770081996917725
1695480779.851338,767,0.8599135875701904
1695480780.3124087,775,0.8566012978553772
1695480780.7635405,783,0.8598138093948364
1695480781.248505,791,0.8579562902450562
1695480781.73689,799,0.8637782335281372
1695480782.2167068,807,0.8663249015808105
1695480782.7018998,815,0.8522951602935791
1695480783.1808243,823,0.8611032962799072
1695480783.6451502,831,0.8495367765426636
1695480784.1331606,839,0.8561456203460693
