wall_time,step,value
1695481304.7256927,7,0.328125
1695481305.1796012,15,0.33203125
1695481305.6344025,23,0.359375
1695481306.0672975,31,0.4140625
1695481306.514343,39,0.41796875
1695481306.9454584,47,0.4921875
1695481307.4118485,55,0.5078125
1695481307.8689995,63,0.51953125
1695481308.3250046,71,0.5078125
1695481308.776183,79,0.5390625
1695481309.221287,87,0.578125
1695481309.693893,95,0.578125
1695481310.1342583,103,0.60546875
1695481310.5963469,111,0.59765625
1695481311.0493557,119,0.6328125
1695481311.4992442,127,0.625
1695481311.9419956,135,0.66796875
1695481312.4001887,143,0.66015625
1695481312.8580747,151,0.671875
1695481313.323989,159,0.68359375
1695481313.7536252,167,0.703125
1695481314.2000217,175,0.72265625
1695481314.6318355,183,0.69921875
1695481315.0681393,191,0.70703125
1695481315.5370855,199,0.6953125
1695481315.9762137,207,0.73046875
1695481316.4130676,215,0.7265625
1695481316.912403,223,0.75390625
1695481317.3776193,231,0.765625
1695481317.8285203,239,0.7421875
1695481318.30089,247,0.7578125
1695481318.7665763,255,0.734375
1695481319.2016535,263,0.75
1695481319.664704,271,0.765625
1695481320.1220694,279,0.765625
1695481320.58238,287,0.74609375
1695481321.0340695,295,0.78515625
1695481321.476864,303,0.7890625
1695481321.9259856,311,0.7734375
1695481322.3734083,319,0.77734375
1695481322.8160212,327,0.80859375
1695481323.253361,335,0.79296875
1695481323.7049649,343,0.80078125
1695481324.1505237,351,0.796875
1695481324.602197,359,0.81640625
1695481325.062429,367,0.80078125
1695481325.5362315,375,0.765625
1695481326.0042315,383,0.80078125
1695481326.4554026,391,0.80078125
1695481326.8878965,399,0.78125
1695481327.3628495,407,0.80078125
1695481327.823597,415,0.8125
1695481328.2656612,423,0.796875
1695481328.7419248,431,0.796875
1695481329.196084,439,0.81640625
1695481329.6467166,447,0.8046875
1695481330.1067493,455,0.80078125
1695481330.5794747,463,0.81640625
1695481331.0326233,471,0.80859375
1695481331.4936619,479,0.8125
1695481331.9812646,487,0.80078125
1695481332.4331431,495,0.82421875
1695481332.9061491,503,0.8125
1695481333.3698761,511,0.81640625
1695481333.8262541,519,0.80859375
1695481334.2965343,527,0.828125
1695481334.735121,535,0.8203125
1695481335.1824553,543,0.82421875
1695481335.644704,551,0.8125
1695481336.1290424,559,0.8046875
1695481336.5707033,567,0.80078125
1695481337.0294986,575,0.8203125
1695481337.5051548,583,0.8203125
1695481337.9420602,591,0.83203125
1695481338.4168496,599,0.83203125
1695481338.844105,607,0.8203125
1695481339.289514,615,0.8515625
1695481339.7361817,623,0.8359375
1695481340.1899533,631,0.83203125
1695481340.631326,639,0.83203125
1695481341.077887,647,0.81640625
1695481341.554207,655,0.83203125
1695481342.0250514,663,0.8203125
1695481342.472727,671,0.8359375
1695481342.9627411,679,0.8359375
1695481343.412417,687,0.84375
1695481343.8588243,695,0.8359375
1695481344.3064952,703,0.82421875
1695481344.7637346,711,0.8359375
1695481345.2201579,719,0.83203125
1695481345.6707487,727,0.84765625
1695481346.1321487,735,0.8515625
1695481346.591085,743,0.84375
1695481347.0451324,751,0.83203125
1695481347.511402,759,0.828125
1695481347.9732819,767,0.84375
1695481348.4200404,775,0.82421875
1695481348.8882678,783,0.83984375
1695481349.3469172,791,0.84765625
1695481349.7842398,799,0.84765625
1695481350.2406695,807,0.83984375
1695481350.6942618,815,0.83984375
1695481351.1477823,823,0.83203125
1695481351.6128442,831,0.8359375
1695481352.0887492,839,0.83984375
1695481352.5601647,847,0.84765625
1695481353.0167272,855,0.8515625
1695481353.4770067,863,0.84765625
1695481353.941024,871,0.8515625
1695481354.3941126,879,0.859375
1695481354.8196464,887,0.84765625
1695481355.249339,895,0.84375
1695481355.717206,903,0.859375
1695481356.188326,911,0.84375
1695481356.6687818,919,0.8515625
1695481357.1464102,927,0.84765625
1695481357.5850806,935,0.84765625
1695481358.022342,943,0.83984375
1695481358.4699926,951,0.8515625
1695481358.9102814,959,0.85546875
1695481359.3459458,967,0.8515625
1695481359.8055813,975,0.85546875
1695481360.2726257,983,0.85546875
1695481360.7165558,991,0.86328125
1695481361.1802704,999,0.85546875
1695481361.637909,1007,0.84375
1695481362.0953333,1015,0.84765625
1695481362.5558317,1023,0.8671875
1695481363.0320952,1031,0.859375
1695481363.501243,1039,0.8515625
1695481363.969687,1047,0.84375
1695481364.435533,1055,0.8359375
1695481364.8997443,1063,0.8515625
1695481365.3507378,1071,0.859375
1695481365.8054268,1079,0.84375
1695481366.2798057,1087,0.83203125
1695481366.723138,1095,0.859375
1695481367.171919,1103,0.84765625
1695481367.6516984,1111,0.85546875
1695481368.1242697,1119,0.85546875
1695481368.5695899,1127,0.8828125
1695481369.0375519,1135,0.8671875
1695481369.5171018,1143,0.859375
1695481369.9905448,1151,0.85546875
