wall_time,step,value
1695481439.7100985,7,0.33203125
1695481440.272243,15,0.328125
1695481440.83845,23,0.328125
1695481441.372431,31,0.34765625
1695481441.9158268,39,0.3671875
1695481442.4290707,47,0.359375
1695481442.974771,55,0.390625
1695481443.50537,63,0.40234375
1695481444.0305016,71,0.4296875
1695481444.538391,79,0.38671875
1695481445.0603833,87,0.41015625
1695481445.587184,95,0.40625
1695481446.1078596,103,0.453125
1695481446.6362927,111,0.41796875
1695481447.1478627,119,0.40234375
1695481447.6852217,127,0.42578125
1695481448.219697,135,0.4453125
1695481448.7561076,143,0.453125
1695481449.2843752,151,0.4453125
1695481449.8200507,159,0.484375
1695481450.343085,167,0.4375
1695481450.897304,175,0.41015625
1695481451.4411635,183,0.453125
1695481451.9668148,191,0.47265625
1695481452.5122004,199,0.45703125
1695481453.0429063,207,0.46875
1695481453.5732508,215,0.47265625
1695481454.1120045,223,0.44921875
1695481454.649603,231,0.4453125
1695481455.1657028,239,0.5
1695481455.692133,247,0.46875
1695481456.2127502,255,0.48046875
1695481456.7527184,263,0.484375
1695481457.2824144,271,0.48046875
1695481457.7964349,279,0.453125
1695481458.3309002,287,0.4375
1695481458.84982,295,0.47265625
1695481459.3696568,303,0.48046875
1695481459.9108298,311,0.4609375
1695481460.4332023,319,0.47265625
1695481460.9652278,327,0.4765625
1695481461.517829,335,0.4921875
1695481462.039202,343,0.484375
1695481462.5759678,351,0.5078125
1695481463.0910983,359,0.5
1695481463.6343613,367,0.48046875
1695481464.1668313,375,0.50390625
1695481464.681664,383,0.5078125
1695481465.2170165,391,0.5
1695481465.7503586,399,0.4921875
1695481466.3033388,407,0.5
1695481466.8211806,415,0.51171875
1695481467.3470516,423,0.51953125
1695481467.8613617,431,0.51171875
1695481468.4037147,439,0.51953125
1695481468.914286,447,0.51953125
1695481469.4332056,455,0.5234375
1695481469.9948437,463,0.53515625
1695481470.5315602,471,0.52734375
1695481471.0409365,479,0.5
1695481471.5613658,487,0.52734375
1695481472.1247518,495,0.52734375
1695481472.6752958,503,0.53515625
1695481473.19464,511,0.55078125
