wall_time,step,value
1695486377.870368,7,0.30078125
1695486378.644138,15,0.328125
1695486379.3736715,23,0.328125
1695486380.1121812,31,0.328125
1695486380.8710566,39,0.328125
1695486381.6402624,47,0.328125
1695486382.3752608,55,0.3359375
1695486383.1223862,63,0.3359375
1695486383.895381,71,0.34375
1695486384.6389046,79,0.33984375
1695486385.395541,87,0.33984375
1695486386.1245914,95,0.33984375
1695486386.8525593,103,0.33984375
1695486387.5893703,111,0.3828125
1695486388.3437989,119,0.40625
1695486389.11758,127,0.40234375
1695486389.859367,135,0.41796875
1695486390.615971,143,0.44140625
1695486391.3492794,151,0.3984375
1695486392.1031091,159,0.375
1695486392.8333259,167,0.41796875
1695486393.5870616,175,0.4140625
1695486394.3035715,183,0.421875
1695486395.042343,191,0.46484375
1695486395.7997377,199,0.40625
1695486396.5379274,207,0.44140625
1695486397.2657614,215,0.42578125
1695486398.0024965,223,0.4296875
1695486398.7768736,231,0.36328125
1695486399.5015647,239,0.41796875
1695486400.2297995,247,0.43359375
1695486400.9707272,255,0.4453125
1695486402.039088,263,0.44140625
1695486402.7946997,271,0.45703125
1695486403.5330882,279,0.453125
1695486404.2897093,287,0.46875
1695486405.0494223,295,0.4765625
1695486405.7823558,303,0.46484375
1695486406.528836,311,0.45703125
1695486407.2675924,319,0.421875
1695486408.0234213,327,0.4453125
1695486408.7633219,335,0.4140625
1695486409.5120108,343,0.4609375
1695486410.260008,351,0.48046875
1695486410.998903,359,0.484375
1695486411.7626522,367,0.5
1695486412.5104845,375,0.4765625
1695486413.2726648,383,0.4921875
1695486414.0186272,391,0.48828125
1695486414.7998986,399,0.484375
1695486415.530406,407,0.49609375
1695486416.271634,415,0.48828125
1695486417.0191252,423,0.4765625
1695486417.7460763,431,0.37890625
1695486418.481143,439,0.4765625
1695486419.2485785,447,0.45703125
1695486420.0296595,455,0.4609375
1695486420.7774956,463,0.5
1695486421.5287693,471,0.53125
1695486422.2767634,479,0.49609375
1695486423.025487,487,0.48046875
1695486423.7409568,495,0.4296875
1695486424.4770088,503,0.47265625
1695486425.2250884,511,0.4921875
1695486425.9893017,519,0.50390625
1695486426.7074025,527,0.51953125
1695486427.4316201,535,0.5078125
1695486428.179817,543,0.51171875
1695486428.9069612,551,0.4296875
1695486429.6661954,559,0.46484375
1695486430.43534,567,0.5
1695486431.1856241,575,0.53125
1695486431.9318588,583,0.5234375
1695486432.6738482,591,0.51953125
1695486433.4134545,599,0.54296875
1695486434.1313217,607,0.5390625
1695486434.8608844,615,0.51953125
1695486435.5977137,623,0.5078125
1695486436.32171,631,0.52734375
1695486437.054588,639,0.5390625
1695486438.0985892,647,0.57421875
1695486438.8233514,655,0.55078125
1695486439.5678775,663,0.546875
1695486440.3160179,671,0.53125
1695486441.0744395,679,0.578125
1695486441.8150697,687,0.58203125
1695486442.5329897,695,0.54296875
1695486443.28822,703,0.5703125
1695486444.0342717,711,0.58203125
1695486444.783472,719,0.51953125
1695486445.5291972,727,0.55078125
