wall_time,step,value
1694791683.5484757,21,0.35014408826828003
1694791684.5174942,43,0.35014408826828003
1694791685.534874,65,0.35014408826828003
1694791686.5731351,87,0.35014408826828003
1694791687.5742977,109,0.3515850007534027
1694791688.5575335,131,0.3631123900413513
1694791689.53673,153,0.3818443715572357
1694791690.5172136,175,0.44092220067977905
1694791691.492613,197,0.47262248396873474
1694791692.4808197,219,0.47838616371154785
1694791693.5089834,241,0.38040345907211304
1694791694.5311294,263,0.4870316982269287
1694791695.5281942,285,0.47982707619667053
1694791696.5148506,307,0.4827089309692383
1694791697.5186214,329,0.47982707619667053
1694791698.5243511,351,0.48559078574180603
1694791699.5108764,373,0.48414984345436096
1694791700.525303,395,0.4927953779697418
1694791701.5354455,417,0.49567723274230957
1694791702.5380898,439,0.49135446548461914
1694791703.5468373,461,0.4884726107120514
1694791704.5509567,483,0.4625360369682312
1694791705.526569,505,0.48991355299949646
1694791706.5027277,527,0.4755043089389801
1694791707.492231,549,0.4942363202571869
1694791708.5064414,571,0.5028818249702454
1694791709.520124,593,0.49567723274230957
1694791710.5192575,615,0.5043227672576904
1694791711.5143912,637,0.5115273594856262
1694791712.525516,659,0.4884726107120514
1694791713.5238879,681,0.5216138362884521
1694791714.5113575,703,0.48991355299949646
1694791715.552838,725,0.5057637095451355
1694791716.5292354,747,0.5043227672576904
1694791717.538648,769,0.4942363202571869
1694791718.5286472,791,0.4942363202571869
1694791719.551027,813,0.48559078574180603
1694791720.567543,835,0.5230547785758972
1694791721.5880394,857,0.5244956612586975
1694791722.5871015,879,0.4322766661643982
1694791723.5916433,901,0.5028818249702454
1694791724.580942,923,0.5216138362884521
1694791725.6188366,945,0.5201728940010071
1694791726.635821,967,0.5028818249702454
1694791727.6868792,989,0.5317003130912781
1694791728.6260438,1011,0.4740633964538574
1694791729.6061125,1033,0.49135446548461914
1694791730.5857193,1055,0.5086455345153809
1694791731.5766075,1077,0.469740629196167
1694791732.568442,1099,0.5072045922279358
1694791733.5331013,1121,0.5273775458335876
1694791734.5531733,1143,0.5129683017730713
1694791735.5083861,1165,0.5129683017730713
1694791736.4794433,1187,0.5201728940010071
1694791737.4199827,1209,0.5
1694791738.4081576,1231,0.5115273594856262
1694791739.3794336,1253,0.5172910690307617
1694791740.3614328,1275,0.5043227672576904
1694791741.373093,1297,0.48414984345436096
1694791742.380088,1319,0.5288184285163879
1694791743.3548813,1341,0.5230547785758972
1694791744.3754554,1363,0.5201728940010071
1694791745.338484,1385,0.5345821380615234
1694791746.3236134,1407,0.5187320113182068
1694791747.2992108,1429,0.48991355299949646
1694791748.2925036,1451,0.530259370803833
1694791749.2620542,1473,0.5216138362884521
1694791750.2291245,1495,0.5288184285163879
1694791751.2133849,1517,0.5057637095451355
1694791752.2181954,1539,0.5187320113182068
